Year,Month,Day,hour,DBT,DP,RH,GHR,DNR,DHR
1994,1,17,14,29.7,22.2,64,692,519,286
1994,1,17,15,29.6,22.3,65,568,438,270
1994,1,17,16,28.7,23.6,74,426,414,207
1994,1,17,17,27.7,23.9,80,230,281,136
1994,1,17,18,26.5,24.4,88,56,113,43
1994,1,17,19,26.2,24.4,90,0,0,0
1994,1,17,20,25.8,24,90,0,0,0
1994,1,17,21,25.6,23.8,90,0,0,0
1994,1,17,22,25.3,23.5,90,0,0,0
1994,1,17,23,25.2,23.4,90,0,0,0
1994,1,17,24,24.7,23.7,94,0,0,0
1994,1,18,1,24.5,23.7,95,0,0,0
1994,1,18,2,24.2,23.4,95,0,0,0
1994,1,18,3,23.7,23,96,0,0,0
1994,1,18,4,23.7,23.4,98,0,0,0
1994,1,18,5,23.6,23.3,98,0,0,0
1994,1,18,6,23.4,23.1,98,0,0,0
1994,1,18,7,23.7,23.4,98,6,128,4
1994,1,18,8,25.9,23.4,86,125,257,75
1994,1,18,9,27,20.6,68,336,469,145
1994,1,18,10,28,20.5,64,518,531,205
1994,1,18,11,28.7,20.7,62,687,641,222
1994,1,18,12,29.8,20.4,57,793,709,223
1994,1,18,13,29.3,19.6,56,822,729,221
1994,1,18,14,29.5,19.5,55,762,684,226
1994,1,18,15,29.3,20.4,59,657,669,199
1994,1,18,16,28.5,21,64,469,546,179
1994,1,18,17,27.8,21.1,67,274,465,116
1994,1,18,18,26.5,22.3,78,71,225,44
1994,1,18,19,26.2,23.5,85,0,0,0
1994,1,18,20,25.9,23.2,85,0,0,0
1994,1,18,21,25.5,23.2,87,0,0,0
1994,1,18,22,25.5,23.2,87,0,0,0
1994,1,18,23,25.2,22.9,87,0,0,0
1994,1,18,24,25,23.2,90,0,0,0
1994,1,19,1,24.7,23.1,91,0,0,0
1994,1,19,2,24.5,23.1,92,0,0,0
1994,1,19,3,24,23.2,95,0,0,0
1994,1,19,4,23.7,22.9,95,0,0,0
1994,1,19,5,23.6,22.8,95,0,0,0
1994,1,19,6,23.5,22.8,96,0,0,0
1994,1,19,7,23.5,22.8,96,6,139,4
1994,1,19,8,24.8,24,95,128,278,74
1994,1,19,9,26.7,23.4,82,334,457,147
1994,1,19,10,28,20.8,65,542,603,187
1994,1,19,11,29.1,21.3,63,635,507,268
1994,1,19,12,28.7,22.4,69,660,396,340
1994,1,19,13,29.9,21,59,639,319,375
1994,1,19,14,29.7,21.6,62,579,270,368
1994,1,19,15,29,21.8,65,466,205,325
1994,1,19,16,28.3,22.1,69,329,158,245
1994,1,19,17,27.1,22.9,78,166,83,138
1994,1,19,18,26.7,24,85,35,22,32
1994,1,19,19,26.1,23.6,86,0,0,0
1994,1,19,20,25.2,24.2,94,0,0,0
1994,1,19,21,25.2,23.6,91,0,0,0
1994,1,19,22,25.5,23.7,90,0,0,0
1994,1,19,23,25.6,23.5,88,0,0,0
1994,1,19,24,25.6,23.3,87,0,0,0
1994,1,20,1,25.4,22.9,86,0,0,0
1994,1,20,2,25,22.7,87,0,0,0
1994,1,20,3,24.5,22.6,89,0,0,0
1994,1,20,4,24.2,22.3,89,0,0,0
1994,1,20,5,23.9,22,89,0,0,0
1994,1,20,6,23.5,21.8,90,0,0,0
1994,1,20,7,23.5,21.9,91,6,164,4
1994,1,20,8,25.3,22.6,85,136,329,71
1994,1,20,9,26.3,18.7,63,366,592,124
1994,1,20,10,27.1,19.2,62,530,561,198
1994,1,20,11,27.6,19.4,61,696,661,216
1994,1,20,12,28.4,19.3,58,798,714,222
1994,1,20,13,28.3,19.5,59,820,716,227
1994,1,20,14,28.1,19.6,60,755,656,238
1994,1,20,15,27.5,19,60,632,589,227
1994,1,20,16,27.4,18.1,57,467,524,186
1994,1,20,17,27,18.6,60,261,386,128
1994,1,20,18,26.1,19.2,66,76,246,45
1994,1,20,19,25.7,19.8,70,0,0,0
1994,1,20,20,25.4,19.3,69,0,0,0
1994,1,20,21,25.2,19.1,69,0,0,0
1994,1,20,22,25,19.1,70,0,0,0
1994,1,20,23,24.7,19.5,73,0,0,0
1994,1,20,24,24.2,20.3,79,0,0,0
1994,1,21,1,23.1,21.5,91,0,0,0
1994,1,21,2,22.3,21.1,93,0,0,0
1994,1,21,3,22,21,94,0,0,0
1994,1,21,4,21.9,20.9,94,0,0,0
1994,1,21,5,21.6,20.8,95,0,0,0
1994,1,21,6,21.4,20.6,95,0,0,0
1994,1,21,7,21.2,20.4,95,6,184,3
1994,1,21,8,22.2,21,93,141,368,69
1994,1,21,9,25,20.9,78,362,571,128
1994,1,21,10,27.6,17.4,54,585,730,153
1994,1,21,11,28,16.6,50,743,779,176
1994,1,21,12,27.4,17,53,816,751,207
1994,1,21,13,28.3,15.9,47,814,696,236
1994,1,21,14,29,17.2,49,688,491,300
